timestamp,cam,local_uid,master_id,route,x1,y1,x2,y2,event
082038_140,RPI_USB2,RPI_USB2_009,20260127_082005_450,XSEB,138,100,220,206,TRACKING
082038_648,RPI_USB3,RPI_USB3_012,20260127_081958_013,XSEB,202,327,286,402,MATCHED
082039_028,RPI_USB1,RPI_USB1_013,,UNKNOWN,254,299,478,513,UNMATCHED
082039_046,RPI_USB3,RPI_USB3_012,20260127_081958_013,XSEB,199,349,287,425,TRACKING
082039_348,RPI_USB2,RPI_USB2_010,20260127_082006_895,XSEB,123,77,278,267,MATCHED
082039_451,RPI_USB3,RPI_USB3_013,20260127_081954_781,XSEB,129,593,261,776,MISSING
082039_451,RPI_USB3,RPI_USB3_012,20260127_081958_013,XSEB,197,368,287,452,TRACKING
082039_748,RPI_USB2,RPI_USB2_010,20260127_082006_895,XSEB,125,49,272,229,TRACKING
082039_853,RPI_USB3,RPI_USB3_012,20260127_081958_013,XSEB,194,391,289,480,TRACKING
082040_234,RPI_USB1,RPI_USB1_014,,UNKNOWN,210,310,381,438,UNMATCHED
082040_634,RPI_USB1,RPI_USB1_014,,UNKNOWN,200,360,382,499,UNMATCHED
082041_463,RPI_USB3,RPI_USB3_014,20260127_082000_568,XSEB,204,342,273,403,MATCHED
082041_842,RPI_USB1,RPI_USB1_015,,UNKNOWN,247,385,334,455,UNMATCHED
082041_863,RPI_USB3,RPI_USB3_014,20260127_082000_568,XSEB,201,363,274,428,TRACKING
082042_267,RPI_USB3,RPI_USB3_014,20260127_082000_568,XSEB,198,386,274,454,TRACKING
082042_667,RPI_USB3,RPI_USB3_015,20260127_081958_013,XSEB,159,635,302,794,MISSING
082043_450,RPI_USB1,RPI_USB1_016,,UNKNOWN,224,264,434,553,UNMATCHED
082043_875,RPI_USB3,RPI_USB3_016,,UNKNOWN,220,341,297,416,UNMATCHED
082044_173,RPI_USB2,RPI_USB2_011,20260127_082010_739,XSEB,133,104,332,264,MATCHED
082044_275,RPI_USB3,RPI_USB3_016,,UNKNOWN,218,361,299,441,UNMATCHED
082044_576,RPI_USB2,RPI_USB2_011,20260127_082010_739,XSEB,132,76,324,237,TRACKING
082044_661,RPI_USB1,RPI_USB1_017,,UNKNOWN,288,319,391,464,UNMATCHED
082044_679,RPI_USB3,RPI_USB3_016,,UNKNOWN,216,385,301,469,UNMATCHED
082045_083,RPI_USB3,RPI_USB3_017,20260127_082000_568,XSEB,165,619,278,734,MISSING
082045_259,RPI_USB2,RPI_USB2_012,,UNKNOWN,137,86,294,293,UNMATCHED
082045_577,RPI_USB2,RPI_USB2_012,,UNKNOWN,138,54,289,251,UNMATCHED
082045_577,RPI_USB2,RPI_USB2_013,,UNKNOWN,285,137,300,183,UNMATCHED
082046_271,RPI_USB1,RPI_USB1_018,,UNKNOWN,287,369,353,454,UNMATCHED
082046_691,RPI_USB3,RPI_USB3_018,20260127_082005_450,XSEB,236,334,304,421,MATCHED
082047_093,RPI_USB3,RPI_USB3_018,20260127_082005_450,XSEB,235,356,306,446,TRACKING
082047_497,RPI_USB3,RPI_USB3_018,20260127_082005_450,XSEB,233,380,309,475,TRACKING
082047_497,RPI_USB3,RPI_USB3_019,,UNKNOWN,194,626,319,764,UNMATCHED
082047_896,RPI_USB3,RPI_USB3_020,20260127_082006_895,XSEB,182,310,311,438,MATCHED
082048_301,RPI_USB3,RPI_USB3_020,20260127_082006_895,XSEB,177,329,314,461,TRACKING
082048_704,RPI_USB3,RPI_USB3_020,20260127_082006_895,XSEB,173,351,315,492,TRACKING
082049_197,RPI_USB2,RPI_USB2_014,,UNKNOWN,82,98,258,239,UNMATCHED
082049_601,RPI_USB2,RPI_USB2_014,,UNKNOWN,86,72,255,202,UNMATCHED
082050_312,RPI_USB3,RPI_USB3_021,20260127_082005_450,XSEB,214,632,330,783,MISSING
082050_812,RPI_USB2,RPI_USB2_015,,UNKNOWN,164,119,304,208,UNMATCHED
082051_212,RPI_USB2,RPI_USB2_015,,UNKNOWN,164,92,298,176,UNMATCHED
082051_516,RPI_USB3,RPI_USB3_022,20260127_082006_895,XSEB,102,583,295,855,MISSING
082052_819,RPI_USB2,RPI_USB2_016,,UNKNOWN,127,66,288,289,UNMATCHED
082053_128,RPI_USB3,RPI_USB3_023,20260127_082010_739,XSEB,160,311,311,432,MATCHED
082053_223,RPI_USB2,RPI_USB2_016,,UNKNOWN,129,37,282,250,UNMATCHED
082053_529,RPI_USB3,RPI_USB3_023,20260127_082010_739,XSEB,154,331,313,459,TRACKING
082053_933,RPI_USB3,RPI_USB3_023,20260127_082010_739,XSEB,149,352,316,489,TRACKING
082054_737,RPI_USB3,RPI_USB3_024,,UNKNOWN,180,318,308,438,UNMATCHED
082055_137,RPI_USB3,RPI_USB3_024,,UNKNOWN,175,341,310,467,UNMATCHED
082055_541,RPI_USB3,RPI_USB3_024,,UNKNOWN,171,366,312,498,UNMATCHED
082056_749,RPI_USB3,RPI_USB3_025,20260127_082010_739,XSEB,89,562,341,805,MISSING
082057_555,RPI_USB3,RPI_USB3_026,,UNKNOWN,203,327,346,431,UNMATCHED
082057_953,RPI_USB3,RPI_USB3_026,,UNKNOWN,200,348,350,457,UNMATCHED
082057_953,RPI_USB3,RPI_USB3_027,,UNKNOWN,133,568,333,758,UNMATCHED
082058_357,RPI_USB3,RPI_USB3_026,,UNKNOWN,198,370,353,487,UNMATCHED
082058_757,RPI_USB3,RPI_USB3_028,,UNKNOWN,173,341,284,409,UNMATCHED
082059_161,RPI_USB3,RPI_USB3_028,,UNKNOWN,168,363,285,432,UNMATCHED
082059_565,RPI_USB3,RPI_USB3_028,,UNKNOWN,164,386,286,460,UNMATCHED
082059_965,RPI_USB3,RPI_USB3_029,,UNKNOWN,202,352,255,390,UNMATCHED
082100_370,RPI_USB3,RPI_USB3_029,,UNKNOWN,200,375,254,415,UNMATCHED
082100_769,RPI_USB3,RPI_USB3_029,,UNKNOWN,197,396,254,438,UNMATCHED
082101_173,RPI_USB3,RPI_USB3_030,,UNKNOWN,163,595,396,815,UNMATCHED
082101_977,RPI_USB3,RPI_USB3_031,,UNKNOWN,191,288,314,449,UNMATCHED
082102_379,RPI_USB3,RPI_USB3_031,,UNKNOWN,187,305,316,477,UNMATCHED
082102_379,RPI_USB3,RPI_USB3_032,,UNKNOWN,118,613,297,746,UNMATCHED
082102_782,RPI_USB3,RPI_USB3_031,,UNKNOWN,183,327,319,507,UNMATCHED
082103_586,RPI_USB3,RPI_USB3_033,,UNKNOWN,167,637,251,702,UNMATCHED
082103_586,RPI_USB3,RPI_USB3_034,,UNKNOWN,236,361,291,390,UNMATCHED
082103_992,RPI_USB3,RPI_USB3_034,,UNKNOWN,235,384,292,420,UNMATCHED
082104_392,RPI_USB3,RPI_USB3_035,,UNKNOWN,226,350,269,388,UNMATCHED
082104_392,RPI_USB3,RPI_USB3_034,,UNKNOWN,228,410,294,451,UNMATCHED
082104_794,RPI_USB3,RPI_USB3_035,,UNKNOWN,224,370,268,411,UNMATCHED
082105_194,RPI_USB3,RPI_USB3_035,,UNKNOWN,223,392,270,436,UNMATCHED
082105_598,RPI_USB3,RPI_USB3_036,,UNKNOWN,138,559,349,852,UNMATCHED
082105_598,RPI_USB3,RPI_USB3_037,,UNKNOWN,216,337,261,423,UNMATCHED
082105_598,RPI_USB3,RPI_USB3_035,,UNKNOWN,220,415,270,463,UNMATCHED
082105_998,RPI_USB3,RPI_USB3_037,,UNKNOWN,214,358,260,447,UNMATCHED
082106_402,RPI_USB3,RPI_USB3_037,,UNKNOWN,211,380,260,477,UNMATCHED
082106_807,RPI_USB3,RPI_USB3_038,,UNKNOWN,199,626,308,759,UNMATCHED
082107_610,RPI_USB3,RPI_USB3_039,,UNKNOWN,168,270,355,465,UNMATCHED
