timestamp,cam,local_uid,master_id,expected,actual,diff,margin,status
082047_896,RPI_USB3,RPI_USB3_020,N/A,0,0,0,0,EMPTY_QUEUE
082049_197,RPI_USB2,RPI_USB2_014,N/A,0,0,0,0,EMPTY_QUEUE
082050_312,RPI_USB3,RPI_USB3_021,N/A,0,0,0,0,EMPTY_QUEUE
082050_812,RPI_USB2,RPI_USB2_015,N/A,0,0,0,0,EMPTY_QUEUE
082051_516,RPI_USB3,RPI_USB3_022,N/A,0,0,0,0,EMPTY_QUEUE
082052_819,RPI_USB2,RPI_USB2_016,N/A,0,0,0,0,EMPTY_QUEUE
082053_128,RPI_USB3,RPI_USB3_023,N/A,0,0,0,0,EMPTY_QUEUE
082054_737,RPI_USB3,RPI_USB3_024,N/A,0,0,0,0,EMPTY_QUEUE
082056_749,RPI_USB3,RPI_USB3_025,N/A,0,0,0,0,EMPTY_QUEUE
082057_555,RPI_USB3,RPI_USB3_026,N/A,0,0,0,0,EMPTY_QUEUE
082057_953,RPI_USB3,RPI_USB3_027,N/A,0,0,0,0,EMPTY_QUEUE
082058_757,RPI_USB3,RPI_USB3_028,N/A,0,0,0,0,EMPTY_QUEUE
082059_965,RPI_USB3,RPI_USB3_029,N/A,0,0,0,0,EMPTY_QUEUE
082101_173,RPI_USB3,RPI_USB3_030,N/A,0,0,0,0,EMPTY_QUEUE
082101_977,RPI_USB3,RPI_USB3_031,N/A,0,0,0,0,EMPTY_QUEUE
082102_379,RPI_USB3,RPI_USB3_032,N/A,0,0,0,0,EMPTY_QUEUE
082103_586,RPI_USB3,RPI_USB3_033,N/A,0,0,0,0,EMPTY_QUEUE
082103_586,RPI_USB3,RPI_USB3_034,N/A,0,0,0,0,EMPTY_QUEUE
082104_392,RPI_USB3,RPI_USB3_035,N/A,0,0,0,0,EMPTY_QUEUE
082105_598,RPI_USB3,RPI_USB3_036,N/A,0,0,0,0,EMPTY_QUEUE
082105_598,RPI_USB3,RPI_USB3_037,N/A,0,0,0,0,EMPTY_QUEUE
082106_807,RPI_USB3,RPI_USB3_038,N/A,0,0,0,0,EMPTY_QUEUE
082107_610,RPI_USB3,RPI_USB3_039,N/A,0,0,0,0,EMPTY_QUEUE
